year,player,team,stat,line,line_low,line_high,odds_low,odds_high,book,proj,source,snapshot
2024,Isaiah Pacheco,KC,rush_yds,900.5,875.5,925.5,-110,-112,,1043.6,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Kenneth Walker,SEA,rush_yds,900.5,875.5,925.5,-112,-115,,901.3,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,James Cook,BUF,rush_yds,875.5,875.5,875.5,-112,-112,,1053.1,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Jahmyr Gibbs,DET,rush_yds,863,825.5,900.5,-112,-110,,890.3,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Joe Mixon,HOU,rush_yds,850.5,825.5,875.5,-112,-110,,879.9,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Rachaad White,TB,rush_yds,825.5,800.5,850.5,-115,-115,,825.7,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Najee Harris,PIT,rush_yds,800.5,775.5,825.5,-112,-110,,949.0,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Jonathon Brooks,CAR,rush_yds,800.5,800.5,800.5,-115,-115,,870.5,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Zack Moss,CIN,rush_yds,788,725.5,850.5,-112,-115,,676.6,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,Zamir White,LV,rush_yds,775.5,750.5,800.5,-115,-112,,910.1,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
2024,David Montgomery,DET,rush_yds,775.5,725.5,825.5,-112,-130,,874.2,fantasypoints,https://web.archive.org/web/20240628170709id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-yard-props
